"","group","s__Actinomyces_graevenitzii","s__Rothia_mucilaginosa","s__Collinsella_aerofaciens","s__Bacteroides_coprocola","s__Bacteroides_dorei","s__Bacteroides_plebeius","s__Butyricimonas_synergistica","s__Parabacteroides_goldsteinii","s__Porphyromonas_gingivalis","s__Alloprevotella_unclassified","s__Paraprevotella_clara","s__Prevotella_copri","s__Prevotella_histicola","s__Prevotella_melaninogenica","s__Prevotella_pallens","s__Gemella_haemolysans","s__Lactobacillus_crispatus","s__Lactobacillus_salivarius","s__Streptococcus_downei","s__Clostridium_asparagiforme","s__Pseudoflavonifractor_capillosus","s__Eubacterium_limosum","s__Coprococcus_eutactus","s__Oribacterium_sinus","s__Catenibacterium_mitsuokai","s__Erysipelotrichaceae_bacterium_2_2_44A","s__Anaeroglobus_geminatus","s__Megamonas_funiformis","s__Fusobacterium_mortiferum","s__Sutterella_wadsworthensis","s__Aeromonas_veronii","s__Klebsiella_unclassified","s__Aggregatibacter_aphrophilus","cluster"
"93","1",0.00847,0.01904,1.62518,3.21935,0.38011,0,0,0,0,0,0.47092,9.52732,0,0,0,0,0,0,0,0,0,0,0,0,4.07044,0,0,0,0,2.51909,0,0,0,1
"94","0",0,0.00033,0.45233,0.00162,0.41302,0.01524,0,0,0,0,0,0.00195,0,0,0,0,0,0,0,0,0.00157,0,0,0,0,0,0,0,0,0.0027,0,0,0,1
"95","1",0,0.0232,0.28577,0,8.91682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09668,0,0,0,0,1.14141,0,0,0,2
"96","1",0.00184,0.00241,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00883,0,0,0,1.76525,0.00028,0,0,0.00624,0,0,0,0,0,0,0,0,0,2
"97","1",0,0.01435,0.28073,0,0.00034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02387,0,0.00275,0,0,0,0,0,0,0,0,0,0,2
"98","0",0,0,0.62415,0,2.26557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.63078,0,0,0,0,0,0,0.18953,0,0,0,2
"99","0",0,0,0.74255,0,0.20246,0.01525,0,0,0,0,0,0.11654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55119,0,0,0,1
"100","1",0,0.16467,1.17448,0,0.90234,0,0.00074,0,0,0,0.00448,0.00088,0,0,0,0,0,0,0,0,0,0.01372,0,0,2.89623,0,0,0,0,0,0,0,0,1
"101","1",0,0.0254,1.29404,0.00025,0.27818,0.08757,0,0,0,0,0,0.02908,0,0,0,0,0,0,0,0.00028,0.00832,0,0,0,0,0,0,0,0,0,0,0,0,2
"102","1",0,0.0054,0.08648,3.16164,0.32421,0,0,0,0,0,0.3399,10.00737,0,0,0,0,0,0,0,0,0.00518,0,0,0,0,4e-04,0,0,0,0,0,0,0,1
"103","1",0,0.0109,0.14743,0,10.30302,0,0,0,0,0,0,2.05345,0,0,0,0,0,0,0,0.05851,0.02205,0,0,0.00632,0,0.01167,0,0,0,1.47054,0,0,0,2
"104","0",0,0.0161,1.97395,0,0,0,0,0,0,0,0.50388,0,0,0,0,0,0.00333,0,0,0,0,0,0,0,4.15023,0,0,0,0,0.00079,0,0,0,1
"105","1",0.01257,0.06393,4.21553,0,0.05326,1.09467,0,0.0025,0,0,0.10441,0,0,0,0,0,0,0,0,0.01041,0,0,0,0,0,0,0,0,0,1.84371,0,0,0,1
"106","0",0,0.02658,1.57246,0,0.34258,0.04546,0,0.00883,0,0,0.46439,16.02404,0,0,0,0,0,0,0,0,0,0,4.08483,0,0,0,0,0,0,1.02644,0,0,0,1
"107","0",0,0.02149,1.78766,0,0.07694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042,0,0,0,0,0.00087,0,0,0,0,0,0.01223,0,2
